cluster,rank,_id,score,quality_score,room_type,comment
0,1,68027b0de3c98b0941765923,5.0,6,花园双床房,床垫很舒适，房间也很安静！入住过很多次了，很多房型都住过，每次去体验感都非常棒！下次还会选择推荐！
0,2,68027b39e3c98b094176594c,5.0,6,花园双床房,很好，出差广州第二次选择了！酒店很有底蕴，酒店工作人员很礼貌，又给升级了房间，挺好挺好！下次还会选择！
0,3,680280d2e3c98b0941765e0f,5.0,5,花园大床房,"多次入住花园酒店，服务好，非常喜欢！粤韵房型近年装修，非常满意，下次还会选择花园酒店！
设施：好
卫生：好
环境：好
服务：好"
0,4,68027d10e3c98b0941765ada,5.0,6,花园大床房,酒店位置方便，硬件条件好，前台免费升级房型，非常感谢！下次来广州还会选择入住
0,5,6802835fe3c98b094176603e,5.0,7,羊羊得意主题大床房,酒店环境一流，干净舒服。多次入住，保持白金水准。孩子们很开心，在博物馆也学到很多知识，下次来广州还会选择花园酒店。
1,1,68027efee3c98b0941765c87,5.0,7,红棉双床套房,"1. ?? 广州花园酒店，一处让人心生花开的住宿胜地！服务??????????，环境???令人陶醉，餐饮美味可口???。这里的员工热情周到，让你感受到家的温馨和舒适。强烈推荐给所有寻找完美住宿体验的朋友们！?

2. ?? 广州花园酒店，一场花样满满的入住之旅！从入门到退房，无一不体现着专业与贴心。房间整洁舒适，设施一应俱全??。而且酒店周边景点众多，交通便利??。在这里度过的时光成为了我美好回忆的一部分。??

3. ?? 广州花园酒店，绝对是一处花花世界！入住期间，每一个细节都散发着品质和温馨。从大堂到客房，无处不体现出酒店对细节的追求。而且服务人员态度友好，亲切有礼??。真心感谢酒店为我们提供了一段美好的旅行时光！??

4. ?? 广州花园酒店，是花好月圆的理想住所！酒店独具特色的花"
1,2,68027a97e3c98b09417658c0,5.0,9,花园双床房,酒店非常漂亮，地理位置佳，作为名副其实的五星级酒店，服务和设施非常棒，映入眼帘的大堂红楼梦主题的烫金壁画彰显酒店地位和独特气质。特别感谢前台办理入住的小姐姐，服务态度极其专业，笑容温暖人心，见我带娃出行，为我们升了套房，特别棒，而且早餐有三个餐厅可以选择，自助餐吃得比较多，尝试了三楼粤式茶点早餐，米其林级的餐饮品质让人印象深刻，孩子非常喜欢。早餐后逛了漂亮的后花园，喂了锦鲤，逛了园子，看了瀑布，美不胜收。这次广州之行花园酒店给我留下了特别棒的印象，下次来广州我一定继续选择入住花园酒店。
1,3,68027e9ee3c98b0941765c34,4.7,9,花园大床房,"我很高兴能够分享我对入住广州花园酒店体验，非常令人满意。花园酒店作为广州的一家知名五星级酒店，在服务和设施方面都非常出色。入住体验非常愉快，让我感受到了高品质的服务和舒适的环境。

首先，我非常欣赏酒店的设计和装修。房间宽敞明亮，设施齐全，而且非常干净整洁。床铺舒适，让我每天都能够得到充分的休息。浴室设施完善，包括高品质的洗浴用品和浴袍等，让我感到非常舒适。

其次，我非常满意酒店的服务。员工都非常友好和专业，能够满足我所有的需求。他们始终保持微笑，让人感到非常亲切。此外，酒店还提供了许多额外的服务，例如早餐、下午茶和晚间鸡尾酒等，这些服务都非常出色。

在性价比方面，我认为花园酒店的价格非常合理。虽然价格稍高，但考虑到酒店的高品质服务和设施，我认为这笔钱花得非常值得。如果你正在寻找一家高品"
1,4,6802789fe3c98b0941765718,5.0,9,花园大床房,"这次广州踏青之旅，基于情怀思量，选择入住花园酒店，没有选错；从进入大堂开始遇到的每位服务人员都热情和专业，特别是前台接待和行李寄存服务；酒店房间干净卫生温馨, 窗外可以看到瀑布，花团锦簇风景优美；酒店餐饮选择丰富，美景美食完美搭配；入住期间，参观了酒店的博物馆，浓厚的酒店历史和文化氛围，印象深刻，获益匪浅；有历史，有担当，有传承，白金五星酒店的称号实至名归。感谢酒店前台Winnie Yu的服务，热心细致，温文尔雅， 不愧是优质酒店培养出来的优秀服务人员，谢谢 ! 下次来广州，还选花园。"
1,5,68028542e3c98b0941766108,5.0,9,花园双床房,"广州花园酒店的地理位置十分优越，紧邻市中心，交通便利，无论是商务出差还是休闲旅游，都能轻松抵达城市的各个角落。

步入酒店大堂，大堂的就是一整块刘姥姥进大观园，设计融合了传统与现代元素，展现出独特的艺术气息。前台工作人员的亲切问候和专业服务，让我从一开始就感受到了宾至如归的温暖。

房间内部的装饰同样令人印象深刻。家具布置考究，床品柔软舒适，保证了我每晚都能拥有高质量的睡眠。房间内的现代化设施一应俱全，高速的无线网络都极大地方便了我的工作和生活需求。

服务方面，广州花园酒店的每一位员工都展现出了高度的专业素养和热情周到。他们对客人的需求反应迅速，总是能够提供及时的帮助和解决方案，让我的住宿体验更加顺畅和愉快。特别是前台的Tony，处处能为客人考虑，很贴心。

总体来说，广州花园酒店以其优越"
2,1,680282bde3c98b0941765fb5,5.0,9,红棉大床套房,环境，设施一流，服务超一流。体验超好的酒店！退房有钱包遗忘房间了，特别感谢前台小李经理，和另一个小伙联系我确认，同时感谢前台美女们，客房服务，早餐人员细心周到的服务。春节出行，让人确实感到宾至如归的服务！??，好的服务背后，相信一定有好的管理，也是老牌酒店常胜不哀的密决，点赞??????????
2,2,68027ccde3c98b0941765a9e,5.0,6,城央绿意大床房,前台cookie小姐姐和anna小姐姐接待我们的，一流品质一流服务，浴缸独具风格，体验感满满，很爱很爱??
2,3,68028542e3c98b094176620a,5.0,8,花园大床房,"前台大堂的员工都给人一种宾至如归的感觉，特别是前台带人办理入住的粉色衣服的几个小姐姐们超有礼貌的。
服务一流的花园酒店，基本上想要什么都可以商量着来。
设施都是新的，酒店装修复古，但住下却有家的感觉，很喜欢。
福兔迎春盲盒（随机赠送）:酥?年糕 
也可以自己开销，买个花园酒店小羊。"
2,4,68028095e3c98b0941765de2,5.0,8,花园大床房,"前台大堂的员工都给人一种宾至如归的感觉，特别是前台带人办理入住的粉色衣服的几个小姐姐们超有礼貌的。
服务一流的花园酒店，基本上想要什么都可以商量着来。
设施都是新的，酒店装修复古，但住下却有家的感觉，很喜欢。"
2,5,68027b0de3c98b0941765926,5.0,7,花园大床房,房间非常干净。特别是前台小姐姐吴灵玲的服务非常令我感到满意??，让我体会到宾至如归的感觉。给她点个赞！
3,1,68028073e3c98b0941765dbf,4.5,8,城央绿意大床房,选了好久，最终还是选择了花园酒店，出门右边就是地铁，去哪里都很方便！从进门门童开始，可以感觉到工作人员很热情，进大厅就看见漂亮的装饰树，虽然人多，服务人员很好，总体给人很温馨的感觉，下次有机会去广州还是会选择他们！白金五星级酒店确实是实至名归！
3,2,68027a2be3c98b094176586c,5.0,5,花园大床房,工作人员很热情，离地铁站近，出行方便。
3,3,6802797de3c98b09417657d5,4.8,7,花园双床房,老牌酒店，很有调调，位置就在地铁边上，出行很方便。服务人员也都很nice，酒店还有个博物馆，可以逛逛。早餐可以在30楼旋转餐厅用餐。
3,4,68027b4ce3c98b094176595a,5.0,6,花园双床房,房间卫生干净服务很好热情周到，一楼西餐厅也不错就是太多美洲飞洲伊朗等外国人，周边没什么可吃的离地铁比较近出门就是打车也方便门口就有很多
3,5,68027b39e3c98b094176594a,4.7,8,花园大床房,花园酒店就在地铁出口处，出行非常方便，对面就有广州酒家，早午茶味道不错，价格也不贵。酒店的服务人员非常热情，有求必应，以后带家人还会再去哦
4,1,68028542e3c98b0941766171,5.0,9,红棉双床套房,"酒店非常好，物有所值，餐厅也很好吃，服务人员态度都很好，入住的时候发小礼物和点心，房间干净，隔音也好，可以说性价比相当高，就是淋浴在浴缸里的，我不太喜欢，要是可以分离就好了。体验了游泳池，还有免费的零食和冰淇淋。酒店总体的设施好得不得了，很多机组入住，国庆期间也有很多人办酒席，花园很漂亮，有博物馆。
自助早餐说实话非常一般，但水平比一般的酒店要好，主要还是外面的早茶太好吃了，一下子就把很普通的酒店自助餐比下去了。有30f旋转餐厅和大厅的瀑布餐厅可以选，旋转餐厅有点头晕，还挺热，建议还是瀑布餐厅吧。"
4,2,680279f2e3c98b094176583b,4.1,9,花园大床房,"携程的3天2晚大床房套餐，看网上说大床房比较小，而且有施工噪音，在前台加钱升级的红棉房。
泳池很棒，在旁边躺着也很舒服。有毛巾和饮料。旁边有更衣室，桑拿，淋浴。
博物馆，值得参观下。了解酒店历史。
后花园有瀑布和鲤鱼池。在瀑布餐厅旁边的玻璃门出去，通道有点昏暗。出去后感觉进去另一个空间，但是旁边在施工，柴油味，打钻的声音，还有瀑布的隆隆水声，夹杂在一起，体验不是很好。
打卡酒店的瀑布餐厅(自助早餐)，桃圆餐厅(套餐形式的早餐)，30楼行政走廊(下午茶和晚上的欢乐时光)，还有荔湾厅。瀑布餐厅就是西式自助早餐，也有中式的早餐，面摊的细面好吃，但是没有粤式点心，图中的面包(展示柜里)不好吃。行政酒廊菜品太少，不建议去，但服务很到位，靠窗位只有早餐时间开放。荔湾厅吃了个粉，10%的服务费，不是很理解"
4,3,68027b83e3c98b0941765988,5.0,7,红棉大床套房,前台Zara和Viria的接待很热情，免费赠送了小朋友早餐。分别体验了一楼瀑布餐厅和30楼的旋转餐厅。
4,4,68027e20e3c98b0941765bc1,5.0,10,红棉大床套房,"广州花园酒店。

历史篇。
邓伯伯亲笔题写酒店名字（全国只有两家酒店的店名是老人家题写的），杨伯伯亲手奠基，江伯伯亲笔为酒店进口设备问题写报告，贝律铭绘制草图。
1985年开业，是全国第一批五星酒店，也是全国首批三家白金五星酒店之一，华南唯一。
《香港基本法》在这里起草，是当年广州亚运会总部饭店。
酒店里有1家米其林二星餐厅、1家米其林一星餐厅和2家米其林指南入围餐厅。
?
房间篇。
囤的红棉房套餐，办理入住时被告知升级为粤韵房，谢谢可爱的SAVANNA哟~
1416房，能俯视庭院瀑布。
面积虽然不算很大（64平方），但是个小套房格局，有独立的客厅和卧室。
整个房间布置简洁雅致舒适，且有岭南元素点睛，如客厅的花砖挂画、床头靠背的岭南园林漆画、床头的鸟笼灯...
写字台桌面，进门后近视眼刚一看"
4,5,68027d95e3c98b0941765b48,5.0,9,花园大床房,花园酒店的交通绝对方便，地铁淘金站上来就是，二楼荔湾庭餐厅品种多样，味道也好，环境岭南风，早餐一楼瀑布餐厅和30楼旋转餐厅都可以享用。
5,1,68027b83e3c98b094176598e,5.0,5,花园大床房,非常喜欢这家，每次来广州只选花园，服务和交通便利没话说，??
5,2,68027be3e3c98b09417659d9,5.0,5,花园大床房,房间舒适，环境很好，大堂小姐姐非常热情周到。交通便利，位置好。
5,3,68027d20e3c98b0941765ae6,5.0,7,城央绿意双床房,酒店服务态度很好，周边交通很便利，出门就是地铁站，离点都德也很近，酒店春节期间各种活动，很喜庆，人气旺！
5,4,68028542e3c98b09417660ca,5.0,6,城央绿意大床房,整体不错，周边配套齐全，交通便利，经理服务态度很好。
5,5,6802797de3c98b09417657d4,5.0,6,红棉大床套房,非常不错的一个酒店，据说是广州本地老牌豪华酒店，地理位置好，交通便利出门就是地铁，房间也不错，服务贴心，很好
6,1,68028542e3c98b0941766183,5.0,5,红棉大床套房,花园酒店名符其实，地理位置优越，服务品质甚好！
6,2,68028327e3c98b0941766012,5.0,5,花园大床房,交通方便，房间舒适，服务优良，地理位置优越，自助早餐丰富，到广州必住酒店推介
6,3,68027a36e3c98b0941765871,5.0,6,红棉双床套房,非常漂亮的酒店，地理位置优越，房间宽敞、酒店有几个歺厅，酒吧也不错，还有个小小博物馆，是出游不错的选择
6,4,68027bcce3c98b09417659c5,5.0,8,花园双床房,服务非常好，房间问题即时反应处理。地理位置优越，地铁就在酒店门口，一楼也有便民的小商店，有机会还会再来。
6,5,68027c98e3c98b0941765a7a,5.0,8,城央绿意大床房,不愧是白金五星，酒店地理位置优越，闹中取静，自带岭南风格的花园，还贴心地送了小点心
7,1,68028038e3c98b0941765d95,5.0,5,花园大床房,酒店卫生干净整洁，环境优雅！舒适！地理位置很好，设施齐全！
7,2,68028542e3c98b09417660ad,5.0,5,花园双床房,"卫生：非常干净整洁
环境：很不错??很适合打卡拍照????
服务：服务美没得说的，超五星服务"
7,3,68028542e3c98b094176613d,5.0,5,花园双床房,房间卫生干净整洁，服务周到暖心，早餐出品丰富，宾至如归
7,4,68027957e3c98b09417657b9,5.0,5,城央绿意大床房,"卫生：房间卫生干净整洁

环境：酒店氛围很好，很有感觉

服务：Tina小姐姐人美服务好

推荐推荐～下次来还选择"
7,5,68028543e3c98b0941766286,5.0,8,花园大床房,超赞的一家酒店！！！酒店房间温馨，酒店装修氛围太棒了，光照合适，不让人感觉有压力，床品超级舒服，旅游一天的累躺下就想不起来了，卫生干净，服务贼棒！！！酒店服务热情，卫生干净整洁，房间温馨宽敞，酒店位置优越，房间的价格也很实惠，性价比高！得到的不止一次舒适愉悦的入住体验，还有人间烟火，这是我对这家酒店的评价。超赞！也特别谢谢rain。酒店旋转自助餐推荐哦??
8,1,68027bc1e3c98b09417659be,5.0,6,红棉大床套房,服务很到位的老牌五星 早餐厅都有三个 每一个都很有特色
8,2,68027dabe3c98b0941765b5d,4.7,6,花园双床房,广州的老牌五星酒店，服务还是不错的，环境也很好，酒店干净卫生，就是我们入住的房间位置很偏感觉不是很舒服。
8,3,6802802de3c98b0941765d8a,5.0,6,花园大床房,广州人的情怀，老牌五星酒店但依然焕发着粤韵活力
8,4,68027a1fe3c98b094176585c,5.0,7,红棉双床套房,酒店地理位置很好，设施豪华而大气；服务很贴心，过生日还送蛋糕??，不愧是老牌五星酒店。下次来还会入住。
8,5,680280dce3c98b0941765e1c,5.0,6,花园双床房,美食加美景，不愧是广州老牌的五星酒店，软件服务比硬件更胜一筹，下回有机会一定再次入住，五星好评!
9,1,68027a8be3c98b09417658bb,3.5,9,花园双床房,非常有年代和历史沉淀感的一家酒店，我呢，怀着对参观历史建筑一份期望入住此酒店。但却是我入住所有五星酒店里面体验感比较差的，我说的是前台和餐厅的服务，并不包括客房等服务，还有硬件维护的也不错。总结体验如下，1、之前订的房间是18到21层，而且当天一再要求高楼层，但是晚上我夫人过来取卡的时候却给了个第7层低楼层，后通过携程的交涉很圆满的解决了，但是现场服务人员却轻描淡写的说可能交接的时候有误，这是你们老牌五星酒店不应该的啊，虽然后面送了宝格丽的洗护小包装；2、第二天吃早餐的时候由于人多，服务员让我夫人去排队。排就排呗，但排队的同时，有一个非洲的朋友过来以后在门口停留了会，和领班聊了会，竟然直接由领班带进去了，当时我们就提出质疑，领班尽然信誓旦旦的说他的朋友已经在里面了，这就是空口说白话，实际上最
9,2,68028280e3c98b0941765f81,4.7,9,花园双床房,位置不错，环境绝佳，服务不错，大堂经理很有礼貌，尤其是管家小刘服务太到位了，整体是不错的体验。但是当天办理入住的前台真是太差劲了，已经不是服务好不好的问题，简直是毫无“人性”，下午2点多到酒店，询问了她价格后感觉携程优惠力度还是比较大的，就在携程下了订单，但被告知携程订单要等一个多小时，给她说了孩子还没吃饭能不能提前办理，说不可以。无奈之下，就去问大堂服务人员有没有能吃饭的地方，服务员说暂时没有，但还是很耐心的帮忙找了个很小的地方。后来，几经询问，说没有规定网上订单必须等一个小时，就又去前台询问，她说可以办理，等候是我们自己同意的，真是无语了，简直坏的很。
9,3,68027fe9e3c98b0941765d48,1.0,9,花园大床房,"广州有好几家充满历史感的酒店，白天鹅，白云宾馆，广州花园酒店等，之前来广州一直都是住的希尔顿，万豪这种国际酒店集团，这次想体验一下本土酒店，感受一下不同酒店不同的风格，没想到这是一切灾难的开始，除了携程赠送的600元餐券感觉物有所值，客房，服务都不行，连换二家房都能有问题，看来这家曾经荣誉满满的酒店如今也是今非昔比，真心建议最近要来广州的，他们家只适合拍照吃饭，千万不要住进来。
先说优点，酒店地理位置得天独厚，距离广州站很近，旁边就是地铁站，出行游玩很方便。大堂看起来很气派，办理入住要排队，生意很好。酒店自带9家餐厅，日料，西餐，粤菜，下午茶，各种品种俱全，我居然还在其中发现了泰安门的身影，厉害了。健身房很大，设施齐全，圆形拱门设计有种欧式古堡风，户外无比泳池拍照也挺好看的，还自带一个博物馆"
9,4,68027dc3e3c98b0941765b78,5.0,8,红棉双床套房,房间很大，新装修的，很干净，服务也不错，本来订了红棉双床房，想换大床，前台小姐姐说大床房有点吵，直接给升级了，就是灯光还是传统老牌酒店的效果比较暗，如果有个白灯感觉更舒服一点，早餐餐厅的环境不错，选择不多，不过味道还挺好
9,5,68027c56e3c98b0941765a40,4.7,9,花园双床房,购买了携程3晚连住花园双床房含早3600套餐，提前一周预约了房间。出发前一天跟客房部打电话确认房型，要求高楼层安静无烟，对方回答会给备注。当天20点到达办理入住，说是帮我帮忙升级了9楼的城央绿意房，上去查看900是位于电梯间后面，浴缸和淋浴同处一处，考虑带孩子使用不便，便座机酒店客房部要求原房型入住。结果被告知已无类似房型。那么问题来了，我之前的全款预约、电话确认是为了什么？！座机沟通后被告知还有一间花园双床房在打扫，但无浴缸。我提出可否参观一下，被拒绝，并且打扫需要1.5小时左右，就是22点半以后！！毫无选择的我只能致电携程客服帮忙解决～就这么等了50分钟酒店和携程都没有任何回复。第三次致电携程后仍没有确切回复，自行前往大堂前台直接理论。诉求和理由同上。在前台交涉了50分钟，最终给了间23
10,1,68028147e3c98b0941765e7a,4.2,6,花园双床房,服务非常好，但加钱升级套房还没有浴缸，也是醉了。
10,2,680281eae3c98b0941765efe,5.0,7,花园双床房,前台的betty小姐姐见我们带了两个宝宝免费给我们升级了套房，非常nice~酒店服务，环境非常棒，值得推荐给大家
10,3,68028542e3c98b0941766159,5.0,6,花园大床房,Joyce 为我们免费升级的套房，?非常不错，人也漂亮，英语流利
10,4,68027f73e3c98b0941765ce6,5.0,5,花园双床房,感觉很不错，床铺很舒服，升级了套房，房间很大
10,5,68028114e3c98b0941765e4c,5.0,7,城央绿意双床房,服务态度很不错，住的很舒服，大堂马卡龙很好吃，12块一个性价比不错，免费升级了套房，很不错！！！！！
11,1,68028000e3c98b0941765d5c,5.0,5,花园大床房,酒店环境不错，服务态度好，周边好吃的也多，交通出行方便，推荐
11,2,68028022e3c98b0941765d80,4.5,7,花园双床房,"酒店位置好，交通方便，吃方便，周边点德都，陶陶居，广州酒家等，都很近。大堂高大尚，有五星级酒店的派头，客房嘛，毕竟是老酒店了！
服务挺好的！
入住时，花园饭店的商会在搞活动。"
11,3,68028543e3c98b09417662b9,5.0,5,花园双床房,交通方便，房间清洁、舒服。早餐高质。推荐
11,4,680278cde3c98b094176573b,5.0,9,红棉大床套房,花园酒店是中国星级酒店的代表，三家白金五星级酒店之一，大堂气派，尽管酒店很有历史，设施并不陈旧。红棉大床房对于家庭出行很方便，客厅有专门的写字桌和台灯，孩子晚上方便写会作业。早餐选择的30层旋转餐厅，虽说味道一般，但是感觉还不错。周边交通方便，吃喝逛都很方便。总体来说，性价比很高，值得推荐。
11,5,68028542e3c98b0941766167,5.0,8,花园双床房,绝对大气的酒店！淘金地铁站出来步行三分钟就到，出行极方便。附近有广州酒家和点都德，还有糖水店，餐饮极方便。
12,1,68028073e3c98b0941765dc7,5.0,10,花园大床房,元宵节前特意坐高铁从深圳来到广州入住花园酒店。去年10月中旬入住时对酒店的行政酒廊体验很好，所以这次特意选择了可享用行政酒廊的大床房3晚。入住办理、出入开门、行李存放等服务都很到位。大床房内饰、床寝用品、卫生洗浴等设施都令人舒适应手。不巧的是浴室的下水道不很通畅。中午洗澡后流水满地，尽管浴房玻璃门外有地垫，但水还是流到了卫生间和门廊。我们午休1个多小时后积水仍在。如果只住一晚将就一下算了，可是要连住3晚，万一滑倒了周围不是玻璃就是浴缸，地面又是大理石，都不是一件小事，可谓有严重的安全隐患。于是把地面两处的积水拍照后去大堂前台商量能否换一间房。令我想不到的是大堂经理YANNIS范认真耐心听取了我的诉求，留存了我出示的两处积水的照片，很快同意并落实了换房。我们被免费换到了楼层更高，设施更优，面积
12,2,68028542e3c98b09417661ef,5.0,9,花园大床房,"越秀区的广州花园酒店设施完善，性价比高，wifi给力，环境不错，地理位置好，离淘金地铁站非常的近，五号线淘金站a口出来就看见看见广州花园酒店了，在酒店附近逛街啊 吃饭啊什么的都很方便，位置在市中心，房间还不错?
?卫生干净 整洁，完全住的放心，房间宽敞，我办理入住登记也很快 酒店服务一如既往的好，最让我印象深刻得是30楼的行政酒廊，行政酒廊的环境很不错，每个桌子上都有摆放着一小盆真的绣球花，让人略感舒适，很适合在这里喝杯茶，惬意的吃点东西休息一下，这个酒店工作人员服务的也十分热情，会主动问好，说到这里，我要特别提到广州花园酒店的30楼行政酒廊，Echo也很贴心，会询问我入住的体验啊 什么的 怎么样 也有给我介绍一楼的瀑布餐厅早餐跟30楼的自助早餐的不同的景观什么的，1楼瀑布餐厅、30楼旋转餐"
12,3,68027b6de3c98b0941765972,5.0,7,花园大床房,行政酒廊 Cathy 和 Echo 服务很好，希望行政酒廊食物种类可以更丰富。还有回访的小颖态度很赞。整体体验感很不错。
12,4,68027b4ce3c98b094176595d,5.0,9,红棉双床套房,旧地重游『白金五星级酒店』：广州花园酒店，园林的建筑景观，定会让你宾至如归。每次下榻位于闹中取静的市中心——花园酒店，都能给我一种好温馨的感觉。在这里，我遇到了酒店行政酒廊的Carrie姐姐和她的同事Aimee，得知我们是一家人来城央度假为我们的其中一间房间升级为粤韵房和给了我们一家人的行政酒廊使用权。这次的行政酒廊是在30楼，凌旋阁广州最大的旋转餐厅——可容纳两千多人同时进餐的凌旋阁，北眺云山，南望珠水，可以尽览广州的景色。早餐选择丰富且中西结合。同行老人家都不得不赞叹一个字“靓”。用餐过程中行政酒廊的Carrie姐姐会不定时过来询问是否需要帮助，入住期间还去了后花园观赏锦鲤，感觉“老朋友”都被养得胖嘟嘟了。在这里，Carrie姐姐和Aimee的服务很好的诠释了白金五星级酒店的水平。再次感
12,5,68027ae0e3c98b09417658fa,5.0,9,花园大床房,"服务：Echo,beryle,mira,Cathy非常棒

广州花园酒店设施完善，大堂历史悠久。
大堂非常的富丽堂皇，房间也不错，行政酒廊服务更是没的说，然后广州花园酒店的位置离地铁站也非常的近。然后离北京路，越秀公园，动物园，珠江新城，越秀公园，天河区都挺近的，去广州塔也不远，酒店很棒，尤其要点名表扬酒店三十楼行政酒廊，行政酒廊的小姐姐们，Echo,beryle
,cathy,mira,kitty,gretta,kanchan,她们都非常的贴心，善良，美丽，大方，这次入住体验非常的棒，因为有她们他们每一个小姐姐的笑容都很甜，其中一进来Beryle就热情的接待我们，给我们介绍酒店哪里有好玩好吃的地方，Echo也会非常积极的服务，我们看到什么空的盘子啊都会过来询问我们，然后询问要不要收走。中秋"
